,"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"2^-8",4.064220,10.047686,8.913166,10.537168,9.765066,10.904916,13.195792,14.240036,14.629496,14.825417,15.018685,14.898227,14.902964,14.860025,15.226557,15.195617,14.946041,14.965365,15.362892,13.816039,11.577823,0.991716
"2^-7",17.196619,12.898769,11.710924,11.627504,10.954978,9.500800,9.926423,10.466121,9.250401,9.665061,10.731926,9.833001,11.393006,10.815183,10.916316,10.387331,10.847664,11.503983,16.597928,13.116325,10.956784,0.971887
"2^-6",16.245603,11.620596,8.505473,6.423210,6.604278,6.349148,6.155546,6.115989,6.006740,6.176544,6.153652,6.269769,7.551464,7.986296,7.734523,7.718110,7.516632,9.171050,16.681569,14.319232,11.311575,0.978284
"2^-5",7.749412,4.864385,4.607864,3.661881,4.053818,3.454867,4.182104,3.507634,4.861605,6.143413,5.985940,5.846302,7.260719,7.506024,7.234945,7.296409,7.237441,9.953319,18.350359,14.766334,11.292025,0.957375
"2^-4",2.880876,2.548593,2.428501,2.553416,2.529465,2.402456,2.758217,2.301269,3.632092,3.026070,5.708147,6.232778,7.083779,6.922142,6.245217,5.368466,7.161092,8.644079,17.678272,14.679281,11.245667,1.035481
"2^-3",1.613757,1.662571,1.786321,1.722965,1.722402,1.746076,2.057275,2.355805,2.080881,4.150341,2.915921,6.656002,7.598723,7.358439,6.667250,6.051153,5.191937,6.514670,17.945328,14.794795,11.376097,1.089602
"2^-2",1.103541,1.256254,1.356145,1.370162,1.369844,1.388632,1.441760,1.922870,2.601486,2.377845,4.926179,3.209688,7.701263,7.457457,6.779702,6.149844,5.133275,6.303984,18.016235,14.734652,11.280561,1.009428
"2^-1",0.897838,1.061379,1.141765,1.191959,1.225957,1.243858,1.313402,1.750943,2.402389,2.230203,4.867613,4.991798,4.791093,7.586599,6.813298,6.076275,5.068478,6.168025,17.962219,15.013965,11.460346,1.058049
"2^-0",0.779381,0.929532,1.039379,1.099654,1.134749,1.148232,1.221527,1.684992,2.317337,2.006122,4.648312,5.049564,4.817888,7.554755,6.766384,6.075764,5.072108,6.041066,17.987132,14.846530,11.338389,1.003705
