,"2^0","2^1","2^2","2^3","2^4","2^5","2^6","2^7","2^8","2^9","2^10","2^11","2^12","2^13","2^14","2^15","2^16","2^17","2^18","2^19","2^20","2^21","2^22","2^23","2^24","2^25"
"2^-8",1.000000,27.908177,21.982106,18.233805,16.771296,16.475129,18.425378,18.513975,18.573179,18.661322,19.035745,19.922542,19.952264,20.236581,19.696073,19.964517,19.876721,20.036829,19.948565,19.659851,18.435654,17.748153,16.258145,15.346022,12.869438,1.018561
"2^-7",1.000000,24.298013,19.277360,16.099407,14.242801,12.950191,13.083518,12.979126,13.039230,12.909202,12.840797,14.407555,14.600482,14.701355,14.010519,13.910491,14.269150,17.401484,21.492414,19.865944,18.895923,16.794163,15.795699,13.993492,12.134803,1.001034
"2^-6",1.000000,16.478287,11.105789,8.594582,7.780177,7.495663,7.725518,7.970697,8.074387,8.595260,8.897773,11.242021,12.229832,12.078699,12.073778,12.022668,12.180478,15.365923,22.963781,19.576611,18.547834,18.165700,17.960335,13.389919,11.989891,1.008374
"2^-5",1.000000,6.421096,5.167830,4.567001,4.567330,4.500504,4.646484,4.907062,5.287458,6.124205,6.724616,9.146761,10.814871,10.451860,10.457494,10.366760,10.728931,14.596460,24.301548,20.463663,19.367255,18.011224,16.562315,14.431898,13.336329,0.985154
"2^-4",1.000000,3.081612,2.882977,2.895407,2.868180,2.830401,2.949878,3.295714,3.730283,4.716084,5.464261,8.413077,10.123464,10.003125,9.666484,9.500607,9.934627,13.393364,24.169156,20.101249,18.328349,17.136154,16.092265,14.194669,12.826069,0.999791
"2^-3",1.000000,1.902691,2.000000,1.958604,1.943070,2.013955,2.129673,2.468168,2.932033,3.868515,4.809985,8.299536,9.802505,9.623186,9.304796,9.623241,9.429255,13.655120,24.691584,20.597337,18.719630,17.795238,16.198280,14.055412,12.881497,1.079624
"2^-2",1.000000,1.446028,1.480667,1.484189,1.519446,1.590018,1.723498,2.027391,2.502563,3.560145,4.461167,7.887806,9.551422,9.722305,9.308660,9.254986,9.460444,13.868876,25.400574,20.699248,19.120487,17.737552,15.490311,14.327943,13.185205,1.064916
"2^-1",1.000000,1.140892,1.187977,1.274428,1.331281,1.348681,1.521585,1.803091,2.374350,3.402586,4.372234,7.877246,9.315958,9.525363,9.227083,9.100286,8.775195,13.358588,25.753880,21.540679,19.378134,17.354575,17.709821,14.187602,12.934055,3.802469
"2^-0",1.000000,1.023096,1.126421,1.154866,1.211289,1.215367,1.368044,1.669734,2.091467,3.231022,4.211819,7.920645,9.725639,9.590080,9.134027,8.870506,9.296804,13.486609,24.828483,21.513391,19.008686,17.740926,16.093421,13.421236,-0.009042,1.225589
