,"10^0","10^1","10^2","10^3","10^4","10^5","10^6","10^7"
"1",1.026788,1.111327,1.075308,1.202165,1.336620,1.778600,1.443559,1.012393
"2",1.013815,1.087099,1.102583,1.194055,1.295821,1.722797,2.356269,1.007720
"3",1.008796,1.063339,1.075639,1.133681,1.278404,1.743998,2.355991,0.988499
"4",1.018960,1.046547,1.062576,1.145460,1.228297,1.698790,2.295023,1.023774
"5",1.007320,1.045993,1.053139,1.128255,1.216175,1.651966,2.299170,1.012038
"6",1.007799,1.032340,1.063619,1.112726,1.247054,1.593779,2.254480,1.047446
"7",1.001068,1.034928,0.985656,1.112838,1.208268,1.597828,2.239884,1.021628
"8",1.009922,1.031941,1.048061,1.093278,1.184805,1.592735,2.179791,0.996813
"9",1.081721,0.961498,1.041304,1.079989,1.170244,1.547592,2.160615,1.005088
"10",1.025941,1.027017,1.031418,1.049839,1.167647,1.500850,2.104278,0.977778
